"task","sparse_factor","slice_index","psnr","ssim"
"module_no_ct_S2","2","91","33.77137756347656","0.8952715396881104"
"module_no_ct_S2","2","92","26.730138778686523","0.737637996673584"
"module_no_ct_S2","2","93","32.548606872558594","0.8812108635902405"
"module_no_ct_S2","2","94","34.831817626953125","0.9283816814422607"
"module_no_ct_S2","2","95","32.92176818847656","0.8652642369270325"
"module_no_ct_S2","2","96","33.39032745361328","0.9023339748382568"
"module_no_ct_S2","2","97","32.871978759765625","0.8614590167999268"
"module_no_ct_S2","2","98","33.977500915527344","0.9155548810958862"
"module_no_ct_S2","2","99","33.064720153808594","0.8990516066551208"
"module_no_ct_S2","2","100","34.380348205566406","0.933462381362915"
"module_no_ct_S2","2","101","32.64094543457031","0.889323353767395"
"module_no_ct_S2","2","102","33.64460754394531","0.9099869728088379"
"module_no_ct_S2","2","103","26.874494552612305","0.7539201378822327"
"module_no_ct_S2","2","104","33.396114349365234","0.9005249738693237"
"module_no_ct_S2","2","105","34.350379943847656","0.9267656803131104"
"module_no_ct_S2","2","106","35.140785217285156","0.9216665029525757"
"module_no_ct_S2","2","107","34.46100616455078","0.9225847125053406"
"module_no_ct_S2","2","108","32.99017333984375","0.8911945223808289"
"module_no_ct_S2","2","109","34.83584213256836","0.9257599115371704"
"module_no_ct_S2","2","110","34.15754318237305","0.9203966856002808"
"module_no_ct_S2","2","111","33.86502456665039","0.912431001663208"
"module_no_ct_S2","2","112","33.021278381347656","0.8868300914764404"
"module_no_ct_S2","2","113","34.43405532836914","0.9330212473869324"
"module_no_ct_S2","2","114","28.036487579345703","0.8044049143791199"
"module_no_ct_S2","2","115","33.021541595458984","0.8641824722290039"
"module_no_ct_S2","2","116","32.292396545410156","0.8389008045196533"
"module_no_ct_S2","2","117","33.259395599365234","0.8857895135879517"
"module_no_ct_S2","2","118","34.03936767578125","0.9133275747299194"
"module_no_ct_S2","2","119","33.017127990722656","0.853464663028717"
"module_no_ct_S2","2","120","33.03651428222656","0.8933517932891846"
"module_no_ct_S2","2","121","32.520137786865234","0.8784630298614502"
"module_no_ct_S2","2","122","32.42024612426758","0.8811354041099548"
"module_no_ct_S2","2","123","33.61632537841797","0.909605085849762"
"module_no_ct_S2","2","124","32.52275085449219","0.8960574865341187"
"module_no_ct_S2","2","125","25.88121223449707","0.6676592230796814"
"module_no_ct_S2","2","126","33.82463836669922","0.9228302836418152"
"module_no_ct_S2","2","127","33.42149353027344","0.9149695038795471"
"module_no_ct_S2","2","128","33.32416915893555","0.9047983884811401"
"module_no_ct_S2","2","129","33.91348648071289","0.896899938583374"
"module_no_ct_S2","2","130","33.55667495727539","0.920432448387146"
"module_no_ct_S2","2","131","34.4929313659668","0.9282425045967102"
"module_no_ct_S2","2","132","34.04029846191406","0.9175492525100708"
"module_no_ct_S2","2","133","33.4793586730957","0.910686731338501"
"module_no_ct_S2","2","134","33.83504104614258","0.8990451097488403"
"module_no_ct_S2","2","135","32.55611801147461","0.8746976852416992"
"module_no_ct_S2","2","136","26.67523193359375","0.7379436492919922"
"module_no_ct_S2","2","137","32.896629333496094","0.8858258128166199"
"module_no_ct_S2","2","138","33.43596267700195","0.8755669593811035"
"module_no_ct_S2","2","139","34.21949768066406","0.9214783906936646"
"module_no_ct_S2","2","140","34.119422912597656","0.9183688163757324"
"module_no_ct_S2","2","141","34.25672149658203","0.923764705657959"
"module_no_ct_S2","2","142","34.11814880371094","0.893233060836792"
"module_no_ct_S2","2","143","32.8569450378418","0.8893520832061768"
"module_no_ct_S2","2","144","34.74230194091797","0.920236349105835"
"module_no_ct_S2","2","145","34.264892578125","0.9219836592674255"
"module_no_ct_S2","2","146","34.058799743652344","0.9144690036773682"
"module_no_ct_S2","2","147","28.295055389404297","0.8221558332443237"
"module_no_ct_S2","2","148","33.622039794921875","0.9097298383712769"
"module_no_ct_S2","2","149","33.49321746826172","0.9163543581962585"
"module_no_ct_S2","2","150","33.02808380126953","0.8906866312026978"
"module_no_ct_S2","2","151","32.94200134277344","0.8865246772766113"
"module_no_ct_S2","2","152","32.935394287109375","0.8557907342910767"
"module_no_ct_S2","2","153","34.233482360839844","0.9237606525421143"
"module_no_ct_S2","2","154","32.922176361083984","0.8694585561752319"
"module_no_ct_S2","2","155","32.82272720336914","0.8901617527008057"
"module_no_ct_S2","2","156","32.567466735839844","0.8896737694740295"
"module_no_ct_S2","2","157","33.55987548828125","0.9064788818359375"
"module_no_ct_S2","2","158","27.156757354736328","0.7807676792144775"
"module_no_ct_S2","2","159","33.3508186340332","0.9045586585998535"
"module_no_ct_S2","2","160","33.645042419433594","0.901587963104248"
"module_no_ct_S2","2","161","32.617225646972656","0.8776757121086121"
"module_no_ct_S2","2","162","33.03988265991211","0.8969316482543945"
"module_no_ct_S2","2","163","33.741371154785156","0.9205325841903687"
"module_no_ct_S2","2","164","33.64888000488281","0.9068484306335449"
"module_no_ct_S2","2","165","32.37114334106445","0.8806165456771851"
"module_no_ct_S2","2","166","32.34878158569336","0.8837240934371948"
"module_no_ct_S2","2","167","33.815216064453125","0.920293927192688"
"module_no_ct_S2","2","168","33.09510803222656","0.864862859249115"
"module_no_ct_S2","2","169","27.60468292236328","0.8156024217605591"
"module_no_ct_S2","2","170","32.05403518676758","0.8833799958229065"
"module_no_ct_S2","2","171","34.45002746582031","0.9222873449325562"
"module_no_ct_S2","2","172","33.0922737121582","0.8930695056915283"
"module_no_ct_S2","2","173","34.249603271484375","0.8870853781700134"
"module_no_ct_S2","2","174","33.57804489135742","0.9138845801353455"
"module_no_ct_S2","2","175","32.8408088684082","0.8591998219490051"
"module_no_ct_S2","2","176","32.9481201171875","0.8846992254257202"
"module_no_ct_S2","2","177","32.85267639160156","0.8870638608932495"
"module_no_ct_S2","2","178","34.1240119934082","0.9188481569290161"
"module_no_ct_S2","2","179","32.48067092895508","0.8808611035346985"
